abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
여회	여/XSN + 회/NNB
백쪽	백/NR + 쪽/NNB
여m	여/XSN + m/SL
학도	학도/NNG
학점	학점/NNG
만회	만/NR + 회/NNB
담당	담당/NNG
달째	달/NNG + 째/XSN
백쯤	백/NR + 쯤/XSN
여t	여/XSN + t/SL
한둘	한둘/NR
박스	박스/NNG
역이	역이/NNG
함대	함대/NNG
연결	연결/NNG
연대	연대/NNG
항구	항구/NNG
항목	항목/NNG
項目	項目/SH
항사	항사/NNG
연도	연도/NNG
항차	항차/NNG
해리	해리/NNB
海里	海里/SH
해법	해/NNG + 법/NNG
해안	해안/NNG
해역	해역/NNG
해전	해/NNG + 전/NNG
해체	해체/NNG
행사	행사/NNG
행시	행/NNG + 시/NNG
행씩	행/NNG + 씩/XSN
연방	연방/NNG
만명	만명/NNG
행주	행주/NNP
연속	연속/NNG
만k	만/NR + k/SL
연승	연승/NNG
혁명	혁명/NNG
현금	현금/NNG
현령	현령/NNG
현장	현장/NNG
顯宗	顯宗/SH
백차	백/NR + 차/NNB
형님	형/NNG + 님/XSN
백척	백/NR + 척/NNB
연안	연안/NNG
연장	연장/NNG
호골	호/NNB + 골/NNG
연전	연전/NNG
호기	호/NNB + 기/NNB
호기	호/NNB + 기/NNG
호기	호기/NNG
호당	호/NNB + 당/XSN
호때	호/NNB + 때/NNG
호묘	호/NNB + 묘/NNG
루블	루블/NNG
호방	호/NNB + 방/NNG
연패	연패/NNG
호봉	호봉/NNG
호분	호/NNB + 분/NNG
호뿐	호/NNB + 뿐/NNB
호선	호/NNB + 선/NNG
호선	호선/NNG
호수	호수/NNG
호실	호실/NNG
결씩	결/NNB + 씩/XSN
열사	열사/NNG
호점	호/NNB + 점/NNG
호점	호점/NNG
호정	호/NNB + 정/NNG
열차	열차/NNG
호집	호/NNB + 집/NNG
엿새	엿새/NNG
만엔	만/NR + 엔/NNB
호쪽	호/NNG + 쪽/NNB
호차	호/NNB + 차/NNG
호포	호/NNB + 포/NNG
호흡	호흡/NNG
영리	영리/NNB
홀차	홀/NNG + 차/NNG
홈런	홈런/NNG
영역	영역/NNG
홉씩	홉/NNB + 씩/XSN
마리	마리/NNB
화산	화산/NNP
화음	화음/NNG
환씩	환/NNB + 씩/XSN
영화	영화/NNG
황산	황산/NNP
회계	회계/NNG
만여	만/NR + 여/XSN
회기	회/NNB + 기/NNG
회꼴	회/NNB + 꼴/XSN
회당	회/NNB + 당/XSN
예산	예산/NNG
회때	회/NNB + 때/NNG
회말	회/NNB + 말/NNB
회분	회/NNB + 분/XSN
백초	백/NR + 초/NNB
회선	회선/NNG
회성	회/NNB + 성/XSN
회씩	회/NNB + 씩/XSN
걸음	걸음/NNG
회용	회/NNB + 용/XSN
회전	회전/NNB
회째	회/NNB + 째/XSN
회쪽	회/NNB + 쪽/NNG
회차	회/NNB + 차/NNB
회초	회/NNB + 초/NNB
후반	후반/NNG
후보	후보/NNG
후퇴	후퇴/NNG
오도	오/NR + 도/NNB
흉일	흉일/NNG
A형	A/SL + 형/XSN
백층	백/NR + 층/NNG
BB	BB/SL
개법	개/NNB + 법/NNG
오륙	오륙/NR
Bq	Bq/SL
백수	백/NR + 수/NNB
cc	cc/SL
오만	오만/NR
오백	오백/NR
강국	강국/NNG
오버	오버/NNG
백톤	백/NR + 톤/NNG
Ci	Ci/SL
오빠	오빠/NNG
cm	cm/SL
Cm	Cm/SL
오십	오십/NR
오천	오천/NR
오픈	오픈/NNG
박자	박자/NNG
옥사	옥사/NNG
온스	온스/NNB
만리	만/NR + 리/NNB
올케	올케/NNG
와트	와트/NNB
마일	마일/NNB
왕조	왕조/NNG
DM	DM/SL
DO	DO/SL
년말	년/NNB + 말/NNB
FM	FM/SL
Ft	Ft/SL
g값	g/SL + 값/NNG
g당	g/SL + 당/XSN
g대	g/SL + 대/NNG
g씩	g/SL + 씩/XSN
요소	요소/NNG
Ga	Ga/SL
GB	GB/SL
요인	요인/NNG
ha	ha/SL
Ha	Ha/SL
HU	HU/SL
Hz	Hz/SL
IU	IU/SL
K씨	K/SL + 씨/NNB
우상	우상/NNG
KB	KB/SL
반보	반보/NNB
대3	대/NNB + 3/SN
백편	백/NR + 편/NNB
운동	운동/NNG
kg	kg/SL
Kg	Kg/SL
년뒤	년/NNB + 뒤/NNG
백평	백/NR + 평/NNB
원권	원/NNB + 권/NNG
km	km/SL
Km	Km/SL
km	km/SL
Km	Km/SL
원권	원/NNB + 권/XSN
원꼴	원/NNB + 꼴/XSN
원대	원/NNB + 대/XSN
원代	원/NNB + 代/SH
백표	백/NR + 표/NNG
원선	원/NNB + 선/NNG
원씩	원/NNB + 씩/XSN
루수	루/NNG + 수/NNG
반칙	반칙/NNG
KO	KO/SL
KW	KW/SL
kW	kW/SL
L당	L/SL + 당/XSN
원적	원/NNG + 적/XSN
m2	m/SL + 2/SN
루심	루/NNG + 심/NNG
대4	대/NNB + 4/SN
백엔	백/NR + 엔/NNB
m4	m/SL + 4/SN
원짜	원/NNB + 짜리/XSN +
거리	거리/NNG
원쯤	원/NNB + 쯤/NNG
원쯤	원/NNB + 쯤/XSN
백억	백억/NR
원칙	원칙/NNG
원화	원/NNG + 화/XSN
백회	백/NR + 회/NNB
만t	만/NR + t/SL
년조	년조/NNG
년중	년/NNB + 중/NNB
m당	m/SL + 당/NNG
m당	m/SL + 당/XSN
M등	M/SL + 등/NNB
만발	만/NR + 발/NNB
m씩	m/SL + 씩/XSN
만배	만/NR + 배/NNG
백여	백/NR + 여/XSN
年中	年中/SH
승씩	승/NNB + 씩/XSN
승자	승자/NNG
고주	고주/NNG
m쯤	m/SL + 쯤/NNG
m쯤	m/SL + 쯤/XSN
MB	MB/SL
백매	백/NR + 매/NNB
백명	백/NR + 명/NNB
百명	百/SH + 명/NNB
mg	mg/SL
승째	승/NNB + 째/XSN
년지	년/NNB + 지/NNG
ml	ml/SL
mL	mL/SL
승차	승/NNB + 차/NNG
mm	m/SL + m/SL
mm	mm/SL
발씩	발/NNB + 씩/XSN
강전	강/NNG + 전/NNG
Mt	Mt/SL
Na	Na/SL
ND	ND/SL
nm	nm/SL
OM	OM/SL
륙십	륙십/NR
pg	pg/SL
년째	년/NNB + 째/XSN
년간	년/NNB + 간/NNB
년때	년/NNB + 때/NNG
rd	rd/SL
t급	t/SL + 급/NNG
공주	공주/NNG
학번	학번/NNG
학생	학생/NNG
서기	서기/NNG
단체	단체/NNG
세대	세대/NNG
형제	형제/NNG
주기	주기/NNG
친구	친구/NNG
선배	선배/NNG
후배	후배/NNG
원소	원소/NNG
년생	년/NNB + 생/XSN
층집	층/NNG + 집/NNG
t씩	t/SL + 씩/XSN
t중	t/SL + 중/NNB
말씩	말/NNB + 씩/XSN
년末	년/NNB + 末/SH
th	th/SL
tv	tv/SL
TV	TV/SL
백밖	백/NR + 밖/NNG
UP	UP/SL
uV	uV/SL
라인	라인/NNG
WD	WD/SL
겹집	겹집/NNG
省	省/SH
짐	짐/NNG
﻿가	가/NNG
평	평/NNB
결	결/NNB
집	집/NNB
人	人/SH
각	각/NNG
광	광/NNG
걸	걸/NNG
금	금/NNG
객	객/NNG
룡	룡/NNG
정	정/NNB
語	語/SH
府	府/SH
짝	짝/NNB
꿍	꿍/NNG
폐	폐/NNG
끗	끗/NNB
포	포/NNB
끼	끼/NNG
나	나/NNG
쪽	쪽/NNB
쉰	쉰/NR
폭	폭/NNB
幅	幅/SH
매	매/NNB
쯤	쯤/NNG
차	차/NNB
次	次/SH
심	심/NNG
표	표/NNG
작	작/NNB
푼	푼/NNB
품	품/NNB
색	색/NNG
이	이/NNB
억	억/NR
량	량/NNG
씨	씨/NNB
강	강/NNG
잔	잔/NNG
세	세/NNB
괘	괘/NNG
里	里/SH
때	때/NNG
놈	놈/NNB
장	장/NNB
勞	勞/SH
곱	곱/NNG
倍	倍/SH
핀	핀/NNG
곳	곳/NNG
필	필/NNB
단	단/NNB
百	百/SH
문	문/NNB
億	億/SH
씬	씬/NNG
문	문/NNG
급	급/NNB
계	계/NNG
問	問/SH
교	교/NNB
題	題/SH
국	국/NNB
간	간/NNB
독	독/NNG
승	승/NNB
달	달/NNB
벌	벌/NNB
냥	냥/NNB
례	례/NNG
식	식/NNB
돈	돈/NNB
륜	륜/NNG
당	당/NNG
돌	돌/NNB
량	량/NNB
족	족/NNG
世	世/SH
한	한/NNG
代	代/SH
언	언/NNG
막	막/NNB
분	분/NNB
역	역/NNG
할	할/NNB
役	役/SH
락	락/NNG
함	함/NNG
종	종/NNB
연	연/NNG
歲	歲/SH
합	합/NNG
항	항/NNG
분	분/NNG
구	구/NNB
種	種/SH
만	만/NR
分	分/SH
해	해/NNB
리	리/NNB
몇	몇/NR
명	명/NNB
음	음/NNG
불	불/NNB
輪	輪/SH
조	조/NNB
행	행/NNG
동	동/NNB
엔	엔/NNB
답	답/NNG
궁	궁/NNG
현	현/NNG
縣	縣/SH
區	區/SH
석	석/NNB
위	위/NNB
좌	좌/NNG
형	형/NNG
모	모/NP
엥	엥/NNB
여	여/NNG
뭇	뭇/NNB
호	호/NNB
號	號/SH
주	주/NNB
보	보/NNB
철	철/NNG
공	공/NNG
첩	첩/NNB
周	周/SH
범	범/NNB
週	週/SH
권	권/NNB
초	초/NNB
셋	셋/NR
열	열/NNB
소	소/NNG
기	기/NNB
共	共/SH
미	미/NNG
大	大/SH
막	막/NNG
期	期/SH
착	착/NNG
영	영/NNP
참	참/NNG
위	위/NNG
잎	잎/NNG
홀	홀/NNG
채	채/NNB
촉	촉/NNB
넷	넷/NR
홉	홉/NNB
촌	촌/NNB
촌	촌/NNG
화	화/NNG
자	자/NNB
책	책/NNG
처	처/NNG
환	환/NNB
환	환/NNG
십	십/NR
字	字/SH
회	회/NNB
回	回/SH
예	예/NNG
척	척/NNB
尺	尺/SH
재	재/NNG
삼	삼/NR
삭	삭/NNB
件	件/SH
닢	닢/NNB
충	충/NNG
립	립/NNB
층	층/NNG
과	과/NNG
저	저/NNG
마	마/NNB
오	오/NR
마	마/NNG
건	건/NNB
적	적/NNG
천	천/NNG
속	속/NNB
천	천/NR
획	획/NNG
효	효/NNG
후	후/NNG
속	속/NNG
녀	녀/NNG
千	千/SH
훈	훈/NNG
방	방/NNG
다	다/NNG
a	a/SL
A	A/SL
煮	煮/SH
b	b/SL
B	B/SL
전	전/NNB
악	악/NNG
者	者/SH
面	面/SH
C	C/SL
c	c/SL
류	류/NNG
角	角/SH
되	되/NNB
면	면/NNG
년	년/NNB
두	두/NNB
신	신/NNG
치	치/NNB
안	안/NNG
칙	칙/NNG
번	번/NNB
칠	칠/NR
갑	갑/NNG
백	백/NR
읍	읍/NNG
산	산/NNG
옥	옥/NNG
상	상/NNG
온	온/NNG
D	D/SL
d	d/SL
D	D/SL
알	알/NNB
뿐	뿐/NNB
알	알/NNG
칸	칸/NNG
군	군/NNB
왕	왕/NNG
배	배/NNG
선	선/NNB
솥	솥/NNG
e	e/SL
f	f/SL
F	F/SL
캔	캔/NNG
g	g/SL
련	련/NNG
쇄	쇄/NNG
사	사/NNG
컵	컵/NNG
컷	컷/NNG
수	수/NNB
選	選/SH
H	H/SL
일	일/NNB
年	年/SH
절	절/NNG
軍	軍/SH
I	I/SL
고	고/NNG
K	K/SL
반	반/NNG
둘	둘/NR
죽	죽/NNB
줄	줄/NNB
것	것/NNB
一	一/SH
웅	웅/NNG
원	원/NNB
루	루/NNG
元	元/SH
딸	딸/NNG
중	중/NNB
목	목/NNG
등	등/NNB
黨	黨/SH
타	타/NNG
골	골/NNG
점	점/NNB
극	극/NNG
밍	밍/NNB
액	액/NNG
바	바/NNG
白	白/SH
야	야/NNG
社	社/SH
본	본/NNB
탁	탁/NNG
탄	탄/NNB
L	L/SL
l	l/SL
日	日/SH
名	名/SH
m	m/SL
M	M/SL
탕	탕/NNG
湯	湯/SH
태	태/NNG
관	관/NNB
택	택/NNG
실	실/NNB
개	개/NNB
발	발/NNB
근	근/NNB
관	관/NNG
톤	톤/NNB
월	월/NNB
月	月/SH
경	경/NNG
길	길/NNB
통	통/NNB
김	김/NNP
살	살/NNB
斤	斤/SH
벽	벽/NNG
지	지/NNB
변	변/NNG
숙	숙/NNG
쌍	쌍/NNG
실	실/NNG
병	병/NNG
약	약/NNG
댁	댁/NNG
팀	팀/NNG
낙	낙/NNG
박	박/NNB
파	파/NNG
순	순/NNG
난	난/NNG
말	말/NNB
날	날/NNB
댓	댓/NR
익	익/NNG
판	판/NNB
시	시/NNB
방	방/NNB
팔	팔/NR
덕	덕/NNG
n	n/SL
의	의/NNG
패	패/NNB
O	O/SL
봉	봉/NNG
P	P/SL
p	p/SL
팩	팩/NNG
時	時/SH
양	양/NNB
R	R/SL
직	직/NNG
검	검/NNG
인	인/NNB
S	S/SL
겹	겹/NNG
t	t/SL
T	T/SL
대	대/NNB
진	진/NNG
도	도/NNB
남	남/NNG
곡	곡/NNG
섬	섬/NNB
묘	묘/NNG
弗	弗/SH
度	度/SH
편	편/NNB
V	V/SL
성	성/NNG
W	W/SL
무	무/NNG
새	새/NNB
부	부/NNB
%	%/SL
x	x/SL
